Date,pr
10-09-2011,0.840750602
11-09-2011,0.822435052
12-09-2011,0.767280733
13-09-2011,0.784273947
14-09-2011,0.752027572
15-09-2011,0.74852649
16-09-2011,0.744859412
17-09-2011,0.740196462
18-09-2011,0.726410645
19-09-2011,0.721601748
20-09-2011,0.765267028
21-09-2011,0.759817744
22-09-2011,0.714649247
23-09-2011,0.758704167
24-09-2011,0.725438829
25-09-2011,0.74155154
26-09-2011,0.758276387
27-09-2011,0.751729245
28-09-2011,0.724944802
29-09-2011,0.763247279
30-09-2011,0.73627478
01-10-2011,0.757660335
02-10-2011,0.765130723
03-10-2011,0.718387012
04-10-2011,0.786480991
05-10-2011,0.802235829
06-10-2011,0.793569117
07-10-2011,0.777829122
08-10-2011,0.780617934
09-10-2011,0.748242031
10-10-2011,0.790904292
11-10-2011,0.802025046
12-10-2011,0.733679618
13-10-2011,0.769772629
14-10-2011,0.757861987
15-10-2011,0.785324147
16-10-2011,0.798316475
17-10-2011,0.784505459
18-10-2011,0.740618508
19-10-2011,0.72038036
20-10-2011,0.757370759
21-10-2011,0.947689105
22-10-2011,0.727918553
23-10-2011,0.742100397
24-10-2011,0.728872431
25-10-2011,0.784178403
26-10-2011,0.79584124
27-10-2011,0.693293824
28-10-2011,0.742623398
29-10-2011,0.77531936
30-10-2011,0.762424293
31-10-2011,0.971946731
01-11-2011,0.817654382
02-11-2011,0.768497165
03-11-2011,0.746181931
04-11-2011,0.741143903
05-11-2011,0.748923378
06-11-2011,0.750318068
07-11-2011,0.755880836
08-11-2011,0.718736396
09-11-2011,0.719466795
10-11-2011,0.748021779
11-11-2011,0.799457418
12-11-2011,0.749879367
13-11-2011,0.814534998
14-11-2011,0.729498805
15-11-2011,0.860578287
16-11-2011,0.769829813
17-11-2011,0.737228392
18-11-2011,0.684978775
19-11-2011,0.801966677
20-11-2011,0.889189318
21-11-2011,0.969420059
22-11-2011,0.906859804
23-11-2011,0.750664418
24-11-2011,0.788331794
25-11-2011,0.776483249
26-11-2011,0.757567931
27-11-2011,0.74170391
28-11-2011,0.73968477
29-11-2011,0.719119361
30-11-2011,0.756220413
01-12-2011,0.712541544
02-12-2011,0.707049
03-12-2011,0.874571243
04-12-2011,0.768876408
05-12-2011,0.726578481
06-12-2011,0.757564889
07-12-2011,0.694846067
08-12-2011,0.806572846
09-12-2011,0.662759026
10-12-2011,0.70789852
11-12-2011,0.774821723
12-12-2011,0.793413671
13-12-2011,0.784538292
14-12-2011,0.903638687
15-12-2011,0.679529408
16-12-2011,0.742038404
17-12-2011,0.76406289
18-12-2011,0.767899347
19-12-2011,0.735029696
20-12-2011,0.727249838
21-12-2011,0.784090633
22-12-2011,0.740203015
23-12-2011,0.78633793
24-12-2011,0.754663141
25-12-2011,0.74839678
26-12-2011,0.786656616
27-12-2011,0.747320754
28-12-2011,0.793250167
29-12-2011,0.740809432
30-12-2011,0.72766816
31-12-2011,0.724677548
01-01-2012,0.687401467
02-01-2012,0.771716836
03-01-2012,0.75004609
04-01-2012,0.756050154
05-01-2012,0.720258651
06-01-2012,0.680389435
07-01-2012,0.704242585
08-01-2012,0.876704129
09-01-2012,0.7988247
10-01-2012,0.959390497
11-01-2012,0.813291
12-01-2012,0.672516125
13-01-2012,0.695880739
14-01-2012,0.7054029
15-01-2012,0.744526628
16-01-2012,0.684883006
17-01-2012,0.715735219
18-01-2012,0.765883016
19-01-2012,0.755741735
20-01-2012,0.709851497
21-01-2012,0.746874059
22-01-2012,0.75222327
23-01-2012,0.740861949
24-01-2012,0.793870604
25-01-2012,0.805625472
26-01-2012,0.789194303
27-01-2012,0.730313804
28-01-2012,0.76651743
29-01-2012,0.691503414
30-01-2012,0.772298463
31-01-2012,0.812092277
01-02-2012,0.809452847
02-02-2012,0.796913365
03-02-2012,0.784752138
04-02-2012,0.758420166
05-02-2012,0.84420589
06-02-2012,0.82523286
07-02-2012,0.820781858
08-02-2012,0.812262181
09-02-2012,0.808043393
10-02-2012,0.822788967
11-02-2012,0.806755727
12-02-2012,0.79039934
13-02-2012,0.75629504
14-02-2012,0.780535912
15-02-2012,0.770832457
16-02-2012,0.728865504
17-02-2012,0.768148187
18-02-2012,0.760355465
19-02-2012,0.699644352
20-02-2012,0.769595844
21-02-2012,0.791823291
22-02-2012,0.751649617
23-02-2012,0.773499717
24-02-2012,0.831299023
25-02-2012,0.740565724
26-02-2012,0.728886312
27-02-2012,0.779821708
28-02-2012,0.799184737
29-02-2012,0.834449982
01-03-2012,0.97029969
02-03-2012,0.987628065
03-03-2012,0.798622005
04-03-2012,0.812960792
05-03-2012,0.790500197
06-03-2012,0.833371897
07-03-2012,0.769718507
08-03-2012,0.802494896
09-03-2012,0.814576309
10-03-2012,0.801370976
11-03-2012,0.721967644
12-03-2012,0.710673637
13-03-2012,0.789649102
14-03-2012,0.804121717
15-03-2012,0.787755475
16-03-2012,0.739878541
17-03-2012,0.800465526
18-03-2012,0.7487436
19-03-2012,0.774023426
20-03-2012,0.731056693
21-03-2012,0.908729905
22-03-2012,0.895690469
23-03-2012,0.884152872
24-03-2012,0.874079779
25-03-2012,0.858351496
26-03-2012,0.838137422
27-03-2012,0.829091152
28-03-2012,0.832341764
29-03-2012,0.854542529
30-03-2012,0.819120887
31-03-2012,0.818403839
01-04-2012,0.840546657
02-04-2012,0.845486218
03-04-2012,0.744467139
04-04-2012,0.829753675
05-04-2012,0.847353184
06-04-2012,0.739899934
07-04-2012,0.774333332
08-04-2012,0.828957369
09-04-2012,0.848186663
10-04-2012,0.723798509
11-04-2012,0.755654825
12-04-2012,0.755654825
13-04-2012,0.782803654
14-04-2012,0.829547719
15-04-2012,0.883133268
16-04-2012,0.875750786
17-04-2012,0.882448105
18-04-2012,0.862440296
19-04-2012,0.848117091
20-04-2012,0.844280927
21-04-2012,0.697425359
22-04-2012,0.888791895
23-04-2012,0.870735768
24-04-2012,0.78889005
25-04-2012,0.902694119
26-04-2012,0.893255449
27-04-2012,0.906255507
28-04-2012,0.909117204
29-04-2012,0.874360698
30-04-2012,0.878883094
01-05-2012,0.874377995
02-05-2012,0.90783849
03-05-2012,0.902617857
04-05-2012,0.885469535
05-05-2012,0.869704616
06-05-2012,0.83383651
07-05-2012,0.833937811
08-05-2012,0.839741403
09-05-2012,0.854250571
10-05-2012,0.855463562
11-05-2012,0.869853106
12-05-2012,0.86686676
13-05-2012,0.915015456
14-05-2012,0.887757221
15-05-2012,0.891406046
16-05-2012,0.868189342
17-05-2012,0.855689289
18-05-2012,0.863111354
19-05-2012,0.889918252
20-05-2012,0.902446167
21-05-2012,0.885382995
22-05-2012,0.877248311
23-05-2012,0.889081673
24-05-2012,0.917108945
25-05-2012,0.913917973
26-05-2012,0.905780527
27-05-2012,0.742063528
28-05-2012,0.801618935
29-05-2012,0.904942002
30-05-2012,0.891382189
31-05-2012,0.797625704
01-06-2012,0.891624534
02-06-2012,0.84439502
03-06-2012,0.819414176
04-06-2012,0.917048349
05-06-2012,0.905610331
