Date,Date,pr,pr_seasonal,pr_residue
2012-02-09,09-02-2012,0.808043393,0.787032960737567,0.021010432262434
2012-02-10,10-02-2012,0.822788967,0.787810538407078,0.0349784285929223
2012-02-11,11-02-2012,0.806755727,0.788595338164627,0.0181603888353738
2012-02-12,12-02-2012,0.79039934,0.789387128304274,0.00101221169572594
2012-02-13,13-02-2012,0.75629504,0.790185675056225,-0.033890635056225
2012-02-14,14-02-2012,0.780535912,0.790990742655849,-0.0104548306558488
2012-02-15,15-02-2012,0.770832457,0.791802093413287,-0.0209696364132876
2012-02-16,16-02-2012,0.728865504,0.792619487783627,-0.0637539837836268
2012-02-17,17-02-2012,0.768148187,0.793442684437626,-0.0252944974376265
2012-02-18,18-02-2012,0.760355465,0.794271440332966,-0.0339159753329665
2012-02-19,19-02-2012,0.699644352,0.795105510786003,-0.0954611587860029
2012-02-20,20-02-2012,0.769595844,0.795944649544015,-0.0263488055440146
2012-02-21,21-02-2012,0.791823291,0.796788608857901,-0.00496531785790073
2012-02-22,22-02-2012,0.751649617,0.797637139555329,-0.0459875225553292
2012-02-23,23-02-2012,0.773499717,0.798489991114303,-0.0249902741143033
2012-02-24,24-02-2012,0.831299023,0.799346911737126,0.0319521112628738
2012-02-25,25-02-2012,0.740565724,0.800207648424744,-0.0596419244247442
2012-02-26,26-02-2012,0.728886312,0.801071947051436,-0.0721856350514366
2012-02-27,27-02-2012,0.779821708,0.80193955243985,-0.0221178444398494
2012-02-28,28-02-2012,0.799184737,0.802810208436336,-0.00362547143633616
2012-02-29,29-02-2012,0.834449982,0.803683657986579,0.0307663240134202
2012-03-01,01-03-2012,0.97029969,0.804559643211488,0.165740046788512
2012-03-02,02-03-2012,0.987628065,0.805437905483332,0.182190159516668
2012-03-03,03-03-2012,0.798622005,0.806318185502103,-0.00769618050210323
2012-03-04,04-03-2012,0.812960792,0.807200223372068,0.00576056862793231
2012-03-05,05-03-2012,0.790500197,0.808083758678501,-0.0175835616785004
2012-03-06,06-03-2012,0.833371897,0.808968530564571,0.0244033664354285
2012-03-07,07-03-2012,0.769718507,0.809854277808358,-0.0401357708083586
2012-03-08,08-03-2012,0.802494896,0.810740738899972,-0.00824584289997213
2012-03-09,09-03-2012,0.814576309,0.811627652118768,0.00294865688123234
2012-03-10,10-03-2012,0.801370976,0.812514755610611,-0.0111437796106111
2012-03-11,11-03-2012,0.721967644,0.813401787465193,-0.0914341434651937
2012-03-12,12-03-2012,0.710673637,0.814288485793355,-0.103614848793355
2012-03-13,13-03-2012,0.789649102,0.815174588804406,-0.0255254868044061
2012-03-14,14-03-2012,0.804121717,0.816059834883422,-0.0119381178834218
2012-03-15,15-03-2012,0.787755475,0.816943962668479,-0.0291884876684799
2012-03-16,16-03-2012,0.739878541,0.817826711127823,-0.0779481701278229
2012-03-17,17-03-2012,0.800465526,0.818707819636931,-0.0182422936369308
2012-03-18,18-03-2012,0.7487436,0.819587028055465,-0.0708434280554655
